City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
151,nikolayevsk-on-amure,53.1406,140.73,10.55,82,59,0.77,RU,1722710592
152,kailaras,26.3167,77.6167,28.62,77,3,2.96,IN,1722710593
153,bonthe,7.5264,-12.505,25.1,86,100,6.35,SL,1722710593
154,kegeyli shahar,42.7767,59.6078,29.09,24,0,2.49,UZ,1722710593
155,lompoc,34.6391,-120.4579,32.1,47,0,4.34,US,1722710386
156,hadibu,12.65,54.0333,25.78,80,18,10.27,YE,1722710594
157,hamilton,39.1834,-84.5333,30.68,66,75,2.57,US,1722710595
158,codrington,-38.2667,141.9667,4.33,91,3,4.05,AU,1722710576
159,blackmans bay,-43.0167,147.3167,8.18,75,100,0.45,AU,1722710596
160,papao,-17.75,-149.55,24.82,67,23,4.72,PF,1722710596
161,canavieiras,-15.675,-38.9472,26.98,73,0,3.27,BR,1722710596
162,ulanhot,46.0833,122.0833,19.79,92,100,0.58,CN,1722710597
163,iskateley,67.6803,53.1512,10.55,78,98,7.83,RU,1722710597
164,kapenguria,1.2511,35.0895,13.84,87,100,2.54,KE,1722710598
165,conduaga,8.862,117.4893,25.26,83,100,1.01,PH,1722710598
166,bargaal,11.2864,51.0773,30.48,57,88,7.57,SO,1722710599
167,mountain home,43.133,-115.6912,30.71,16,40,5.66,US,1722710599
168,khanty-mansiysk,61.0042,69.0019,18.06,100,0,1.0,RU,1722710599
169,vilyuysk,63.7553,121.6247,10.59,60,0,1.2,RU,1722710600
170,gadzhiyevo,69.2551,33.3362,9.49,94,31,3.93,RU,1722710600
171,madras,13.0878,80.2785,27.23,93,100,2.57,IN,1722710552
172,cabo san lucas,22.8909,-109.9124,36.45,46,0,6.69,MX,1722710602
173,carnarvon,-24.8667,113.6333,17.32,68,0,6.1,AU,1722710602
174,pisco,-13.7,-76.2167,17.79,82,100,2.06,PE,1722710566
175,at taj,24.2049,23.2857,32.63,18,1,6.49,LY,1722710603
176,alaghsas,17.0187,8.0168,26.94,74,40,2.57,NE,1722710603
177,soio,-6.1349,12.3689,20.31,87,0,4.1,AO,1722710604
178,trincomalee,8.5711,81.2335,27.84,72,13,5.58,LK,1722710604
179,balkashino,52.5167,68.7667,17.62,54,34,3.66,KZ,1722710605
180,mweka,-4.85,21.5667,25.19,27,7,0.4,CD,1722710606
181,loningen,52.7333,7.7667,20.61,90,92,3.14,DE,1722710606
182,ceerigaabo,10.6162,47.368,19.43,61,73,10.39,SO,1722710606
183,klyuchi,52.2667,79.1667,18.44,90,100,4.89,RU,1722710607
184,tura,25.5198,90.2201,23.92,97,94,2.27,IN,1722710413
185,uturoa,-16.7333,-151.4333,24.86,65,85,5.42,PF,1722710608
186,koryazhma,61.3143,47.1691,15.5,97,87,1.68,RU,1722710608
187,tomatlan,19.9333,-105.25,26.12,89,100,1.14,MX,1722710608
188,villacanas,39.6237,-3.3381,32.29,21,0,3.28,ES,1722710609
189,kuqa,41.7278,82.9364,29.69,28,100,4.45,CN,1722710609
190,sinabang,2.4803,96.3801,25.39,83,100,4.22,ID,1722710610
191,newman,37.3138,-121.0208,36.12,35,74,0.45,US,1722710572
192,adrar,20.5022,-10.0711,37.17,26,87,3.78,MR,1722710611
193,al jawf,29.5,38.75,29.93,16,5,4.77,SA,1722710608
194,murghob,38.1702,73.9667,12.63,69,99,2.69,TJ,1722710612
195,namibe,-15.1961,12.1522,17.19,78,1,5.7,AO,1722710612
196,broken hill,-31.95,141.4333,11.82,40,100,3.02,AU,1722710613
197,novyy urengoy,66.0833,76.6333,17.57,90,100,4.48,RU,1722710613
198,el granada,37.5027,-122.4694,27.5,69,20,6.69,US,1722710614
199,ponta delgada,37.7333,-25.6667,25.4,69,20,3.09,PT,1722710614
200,yuzhno-kurilsk,44.0306,145.8556,16.74,98,98,2.78,RU,1722710615
201,remire-montjoly,4.9167,-52.2667,27.02,78,75,5.66,GF,1722710583
202,miles city,46.4083,-105.8406,31.54,30,0,2.57,US,1722710615
203,la'ie,21.6477,-157.9253,26.73,80,34,1.79,US,1722710616
204,isangel,-19.55,169.2667,20.11,70,0,5.54,VU,1722710616
205,sorong,-0.8833,131.25,25.38,88,98,2.63,ID,1722710617
206,moussoro,13.6408,16.4901,29.52,58,90,3.68,TD,1722710617
207,soderhamn,61.3037,17.0592,17.2,95,16,1.41,SE,1722710593
208,changnyeong,35.5415,128.4951,28.77,94,0,0.51,KR,1722710618
209,buritizeiro,-17.3511,-44.9622,27.48,41,100,6.49,BR,1722710618
210,tuymazy,54.6067,53.7097,14.38,90,57,2.7,RU,1722710619
211,mchinji,-13.7984,32.8802,15.7,34,11,1.1,MW,1722710619
212,bogatyye saby,56.0102,50.4483,15.66,93,100,3.54,RU,1722710620
213,bardai,11.65,7.2333,21.8,91,70,2.79,NG,1722710593
214,yanqul,23.5905,56.5501,36.27,35,100,1.79,OM,1722710621
215,st. john's,47.5649,-52.7093,25.66,53,20,6.17,CA,1722710360
216,alotau,-10.3069,150.4462,21.73,94,100,2.37,PG,1722710621
217,lorengau,-2.0226,147.2712,27.03,84,95,4.67,PG,1722710622
218,hawaiian paradise park,19.5933,-154.9731,23.83,98,100,3.09,US,1722710521
219,hafar al-batin,28.4328,45.9708,38.32,10,0,4.12,SA,1722710623
220,tazacorte,28.629,-17.9293,24.54,73,20,6.69,ES,1722710623
221,matoury,4.8483,-52.3317,26.98,78,75,5.66,GF,1722710624
222,cidreira,-30.1811,-50.2056,20.78,74,0,6.03,BR,1722710624
223,lawrenceburg,38.0373,-84.8966,28.82,69,40,4.12,US,1722710624
224,blacksburg,37.2296,-80.4139,28.22,45,49,4.47,US,1722710625
225,cozumel,20.5083,-86.9458,32.19,70,40,3.09,MX,1722710626
226,pirallahi,40.4723,50.333,26.08,66,0,3.56,AZ,1722710626
227,haiku-pauwela,20.9219,-156.3051,24.54,89,75,6.17,US,1722710627
228,weno,7.4515,151.8468,27.97,78,100,2.06,FM,1722710627
229,tocopilla,-22.092,-70.1979,18.89,63,0,2.11,CL,1722710513
230,yerkoy,39.6381,34.4672,26.53,22,0,0.42,TR,1722710628
231,ulysses,37.5814,-101.3552,33.66,43,75,2.06,US,1722710584
232,pitkyaranta,61.5734,31.4792,16.33,86,29,2.46,RU,1722710629
233,qui nhon,13.7667,109.2333,26.25,84,100,2.23,VN,1722710630
234,angaur state,6.906,134.13,28.8,76,100,5.73,PW,1722710630
235,loikaw,19.6742,97.2094,20.02,97,88,1.24,MM,1722710631
236,manismata,-2.4667,111.0333,22.59,99,100,1.25,ID,1722710631
237,port said,31.2565,32.2841,28.99,65,0,5.14,EG,1722710631
238,reggane,26.7158,0.1714,39.95,5,0,5.49,DZ,1722710632
239,solnechnyy,50.7214,136.6319,12.47,84,0,1.87,RU,1722710632
240,verkhnevilyuysk,63.4453,120.3167,9.92,63,1,0.37,RU,1722710633
241,vilyuchinsk,52.9306,158.4028,11.15,87,99,3.0,RU,1722710633
242,retreat,38.8245,-85.8533,31.52,65,0,1.34,US,1722710634
243,constantia,44.1833,28.65,26.5,57,100,9.68,RO,1722710409
244,cadale,2.7603,46.3222,24.89,85,100,7.52,SO,1722710635
245,watsa,3.0372,29.5355,18.85,96,100,1.36,CD,1722710635
246,chifeng,42.2683,118.9636,24.01,87,100,1.3,CN,1722710636
247,kingston,17.997,-76.7936,32.53,66,20,9.77,JM,1722710458
248,lannion,48.75,-3.4167,17.3,82,100,3.09,FR,1722710637
249,polyarnyy,69.1989,33.4478,9.71,91,16,3.66,RU,1722710637
250,usinsk,65.9939,57.5281,16.69,83,100,8.11,RU,1722710637
251,sanctuary point,-35.1114,150.629,7.96,81,78,3.44,AU,1722710638
252,dudinka,69.4058,86.1778,11.81,75,9,4.97,RU,1722710638
253,makamba,-4.1348,29.804,19.53,47,48,0.72,BI,1722710639
254,allapalli,19.4167,80.0667,24.49,96,100,2.66,IN,1722710639
255,stanley,54.868,-1.6985,17.06,60,20,6.17,GB,1722710640
256,brandon,27.9378,-82.2859,26.93,84,40,4.63,US,1722710379
257,caceres,39.522,-6.3748,33.84,17,0,1.42,ES,1722710641
258,ilulissat,69.2167,-51.1,12.01,54,0,2.57,GL,1722710641
259,punta arenas,-53.15,-70.9167,2.06,75,100,5.66,CL,1722710605
260,cassia,-20.5831,-46.9219,27.09,34,47,4.17,BR,1722710642
261,hailey,43.5196,-114.3153,34.96,20,100,1.79,US,1722710643
262,ust-nera,64.5667,143.2,8.21,71,21,2.26,RU,1722710643
263,rampur,28.8167,79.0333,26.21,81,100,1.47,IN,1722710644
264,banepa,27.6298,85.5214,22.18,83,40,1.54,NP,1722710644
265,l'aquila,42.365,13.3935,23.91,87,100,0.89,IT,1722710644
266,santyoku,37.4406,129.1708,25.83,84,0,1.21,KR,1722710645
267,belle fourche,44.6714,-103.8522,37.22,13,13,5.54,US,1722710646
268,puerto deseado,-47.7503,-65.8938,4.76,86,100,7.93,AR,1722710646
269,rongelap,11.1635,166.8941,27.99,78,31,1.72,MH,1722710646
270,vincennes,48.85,2.4333,22.9,72,100,4.47,FR,1722710647
271,sitka,57.0531,-135.33,16.94,67,75,4.12,US,1722710647
272,northam,51.0333,-4.2167,16.88,78,100,4.02,GB,1722710648
273,albemarle,35.3501,-80.2001,32.51,70,40,3.6,US,1722710648
274,tahe,52.3333,124.7333,16.9,52,100,1.19,CN,1722710649
275,anadyr,64.75,177.4833,9.28,87,75,3.0,RU,1722710620
276,onega,63.9061,38.1404,13.53,92,44,2.72,RU,1722710650
277,pont rouge,48.8833,-72.0825,27.06,72,97,3.2,CA,1722710650
278,san luis,-33.295,-66.3356,19.43,15,0,3.91,AR,1722710650
279,port augusta,-32.5,137.7667,11.1,76,100,1.02,AU,1722710651
280,santiago,-33.4569,-70.6483,15.66,58,0,2.06,CL,1722710569
281,pariaman,-0.619,100.12,25.03,89,60,1.9,ID,1722710652
282,jieshi,22.8134,115.8257,28.7,85,6,5.98,CN,1722710652
283,gloversville,43.0528,-74.3438,29.17,74,40,3.6,US,1722710653
284,lebu,-37.6167,-73.65,11.54,82,85,6.14,CL,1722710654
285,bhisho,-32.8472,27.4422,14.35,21,100,3.03,ZA,1722710654
286,ketchikan,55.3422,-131.6461,20.26,56,0,5.14,US,1722710655
287,guangyuan,32.442,105.823,23.85,95,96,1.33,CN,1722710655
288,jiexiu,37.0244,111.9125,24.02,75,88,0.86,CN,1722710655
289,kharkhorin,47.1975,102.8238,13.92,63,31,1.91,MN,1722710656
290,wisconsin rapids,44.3836,-89.8174,29.66,39,0,3.6,US,1722710656
291,grand baie,-20.0182,57.5802,21.26,84,32,6.32,MU,1722710657
292,ta`u,-14.2336,-169.5144,26.92,61,100,4.46,AS,1722710624
293,nova sintra,14.8667,-24.7167,26.73,71,100,1.88,CV,1722710558
294,westport,41.1415,-73.3579,33.49,62,0,6.17,US,1722710658
295,severo-yeniseyskiy,60.3725,93.0408,11.41,78,25,1.06,RU,1722710659
296,kon tum,14.35,108.0,20.51,95,94,0.7,VN,1722710414
297,beledweyne,4.7358,45.2036,25.89,63,96,9.83,SO,1722710659
298,berezovyy,51.6667,135.7,11.51,79,8,1.3,RU,1722710660
299,mar del plata,-38.0023,-57.5575,18.3,45,0,5.36,AR,1722710469
300,patterson,37.4716,-121.1297,36.68,35,46,2.46,US,1722710661
301,shetpe,44.1667,52.1167,27.83,36,0,2.26,KZ,1722710473
302,lahij,13.1667,44.5833,32.26,45,72,1.81,YE,1722710662
303,hawera,-39.5917,174.2833,6.8,81,2,2.17,NZ,1722710662
304,ambon,-3.6954,128.1814,27.15,95,75,3.6,ID,1722710663
305,kavalerovo,44.2661,135.0572,15.31,96,100,1.03,RU,1722710663
306,novokorsunskaya,45.6408,39.1464,24.32,44,0,3.38,RU,1722710664
307,afaahiti,-17.75,-149.2833,23.93,67,59,4.46,PF,1722710665
308,kenora,49.8167,-94.4337,20.54,83,100,3.6,CA,1722710665
309,tindouf,27.6711,-8.1474,44.25,10,47,1.54,DZ,1722710665
310,along,28.1667,94.7667,22.34,99,100,0.28,IN,1722710666
311,tulum,20.2167,-87.4667,31.99,58,100,2.53,MX,1722710413
312,sanguem,15.2333,74.1667,26.71,94,100,2.15,IN,1722710667
313,pyapon,16.2833,95.6833,26.14,90,100,1.63,MM,1722710667
314,kalispell,48.1958,-114.3129,28.02,34,0,0.0,US,1722710668
315,tidjikja,18.5564,-11.4271,30.45,52,100,4.04,MR,1722710668
316,tevriz,57.509,72.4042,15.2,92,37,1.96,RU,1722710669
317,nicoya,10.1483,-85.452,30.79,64,100,0.56,CR,1722710669
318,swan hill,-35.3378,143.5544,5.71,91,100,2.54,AU,1722710669
319,mareeba,-17.0,145.4333,15.4,86,0,1.15,AU,1722710670
320,shingu,33.7333,135.9833,25.63,92,1,1.17,JP,1722710670
321,callao,-12.0667,-77.15,23.01,79,56,3.96,PE,1722710133
322,pionerskiy,54.9508,20.2275,17.91,76,16,3.61,RU,1722710671
323,collie,-33.3667,116.15,5.01,89,0,0.93,AU,1722710672
324,cabedelo,-6.9811,-34.8339,28.37,72,2,7.6,BR,1722710635
325,aban,56.67,96.06,11.63,95,0,2.53,RU,1722710672
326,mejit,10.2753,170.8646,27.84,76,27,2.16,MH,1722710673
327,kristiansund,63.1115,7.732,19.03,81,75,1.54,NO,1722710673
328,takum,7.2667,9.9833,23.4,89,85,1.22,NG,1722710674
329,mumford,5.2618,-0.759,23.48,91,12,4.55,GH,1722710674
330,suriapet,17.15,79.6167,26.73,79,100,4.48,IN,1722710675
331,bac lieu,9.285,105.7244,26.22,86,100,3.7,VN,1722710675
332,rio preto da eva,-2.6994,-59.6997,33.43,43,97,0.89,BR,1722710676
333,road town,18.4167,-64.6167,31.05,70,40,6.69,VG,1722710676
334,naze,28.3667,129.4833,26.51,87,6,2.05,JP,1722710677
335,colonia,50.9333,6.95,23.03,73,0,4.12,DE,1722710586
336,egilsstadir,65.2653,-14.3948,13.95,67,40,4.63,IS,1722710677
337,lakhipur,26.0299,90.3041,25.27,93,94,0.3,IN,1722710678
338,guano,-1.5833,-78.6333,17.56,41,94,5.21,EC,1722710678
339,nangong,37.3581,115.3744,27.55,86,98,2.2,CN,1722710679
340,morinville,53.8001,-113.652,26.38,35,75,6.17,CA,1722710679
341,mabaruma,8.2,-59.7833,31.09,62,22,2.79,GY,1722710680
342,amlapura,-8.45,115.6167,23.28,88,76,2.9,ID,1722710680
343,tyukhtet,56.5389,89.3011,14.8,92,0,2.83,RU,1722710681
344,ocean city,39.2776,-74.5746,32.32,74,96,6.39,US,1722710681
345,pacific grove,36.6177,-121.9166,26.78,83,35,2.68,US,1722710681
346,muravlenko,63.7898,74.523,17.38,91,16,3.38,RU,1722710682
347,nelson bay,-32.7167,152.15,7.27,95,99,2.34,AU,1722710682
348,howrah,22.5892,88.3103,28.0,94,40,2.57,IN,1722710683
349,karratha,-20.7377,116.8463,20.27,75,0,3.02,AU,1722710596
350,okhotsk,59.3833,143.3,11.63,81,39,1.03,RU,1722710684
